idsubsls,kecamatan,desa,nama_sls,dominan,keluarga_awal,usaha_awal,keluarga_prelist,umkm_keluarga,st2023,umk,um,usaha_lain,umk_um,usaha_final,total_usaha_final,level_geografis,is_prioritas
2105010004000100,JEMAJA,MAMPOK,RT 002 RW 001 DUSUN 1,1,38,22,44,0,32,12,0,22,12,22,54,sls,TRUE
2105010004000200,JEMAJA,MAMPOK,RT 008 RW 003 DUSUN 1,1,29,1,20,0,16,6,0,1,6,6,22,sls,TRUE
2105010004000300,JEMAJA,MAMPOK,RT 004 RW 002 DUSUN 2,1,27,3,36,0,14,2,0,3,2,3,17,sls,TRUE
2105010004000400,JEMAJA,MAMPOK,RT 003 RW 004 DUSUN 3,1,26,1,27,0,13,6,0,1,6,6,19,sls,TRUE
2105010004000500,JEMAJA,MAMPOK,RT 001 RW 001 DUSUN 1,1,30,1,41,0,22,3,0,1,3,3,25,sls,TRUE
2105010004000600,JEMAJA,MAMPOK,RT 005 RW 003 DUSUN 2,1,44,4,31,0,22,6,0,4,6,6,28,sls,TRUE
2105010004000700,JEMAJA,MAMPOK,RT 006 RW 003 DUSUN 2,1,18,12,23,0,8,3,0,12,3,12,20,sls,TRUE
2105010004000800,JEMAJA,MAMPOK,RT 007 RW 004 DUSUN 3,1,36,6,29,0,21,4,0,6,4,6,27,sls,TRUE
2105010004200100,JEMAJA,MAMPOK,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105010004200200,JEMAJA,MAMPOK,HUTAN,11,0,0,0,0,0,0,0,0,0,0,0,sls,TRUE
2105010004200300,JEMAJA,MAMPOK,HUTAN,11,0,0,0,0,0,1,0,0,1,1,1,sls,TRUE
2105010005000100,JEMAJA,LETUNG,RT 001 RW 001 LINGKUNGAN 01 TIMUR,1,37,74,50,0,0,30,0,74,30,74,74,sls,TRUE
2105010005000200,JEMAJA,LETUNG,RT 002 RW 001 LINGKUNGAN 01 TIMUR,1,36,0,41,0,6,6,0,0,6,6,12,sls,TRUE
